Name,Codename,arm Version,Degrees of Freedom,Release Date
Oculus Go,Pacific,ARMv8-A,3DoF,"May 1, 2018"
Oculus Quest,Unknown,ARMv8-A,6DoF,tba
Oculus Quest 2,Mirimar / Hollywood,ARMv8.2-A,6DoF,tba
Quest Pro,Unknown,ARMv8.2-A,6DoF,tba
Quest 3,Stinson / Eureka,ARMv8.2-A,6DoF,tba
